"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","BayArea","-","Facebook","硕士","25 25 25 25","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","如何合理利用抖包袱版工资数据来谈判工资","Warald","-","-","-","4-6月","内推","1.538876801921E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=381967&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Southern California","-","Google","硕士","25%","1-3年","在职跳槽","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 10:07:59","报一个之前的谷歌T3包","小鱼刺","-","10K.8","去","7-9月","猎头","1.538876803516E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447677&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2017","TrailItem"
"-","BayArea","-","Facebook","本科","4","1-3年","在职跳槽","-","分析|数据科学类","全职","-","Very strong internal offer","IC (Individual Contributor 技术岗，不管人)","2018-10-2 01:40:03","FB DS Analytics 包裹","tongchen92","-","standard FB relocation","未定","7-9月","猎头","1.538876806199E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=441609&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Square","-","硕士","-","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","recruiter说不给match","-","null","Square New Grad Master包裹","lqzgz","-","4.5k","-","4-6月","Other","1.53887680703E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=166132&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2016","TrailItem"
"-","Greater Seattle Area","-","Oracle","硕士","25% 25% 25% 25%","3-5年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 07:36:47","甲骨文云 ic3","tonyinsect123","-","-","去了……","7-9月","内推","1.53887680717E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447654&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"200000","BayArea","-","Facebook","本科","4 yrs","3-5年","在职跳槽","-","码农类General","全职","-","-","Manager","2018-10-6 11:54:33","FB M","dalef","-","-","去","7-9月","猎头","1.538876807182E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447696&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Paypal","硕士","3 year","1-3年","在职跳槽","不知道","码农类General","全职","-","没有","IC (Individual Contributor 技术岗，不管人)","2018-10-6 04:54:08","PayPal低球，顺便求问怎么撕offer。。","倒序浏览","-","N/A","-","7-9月","网上海投","1.538876808476E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447615&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Tradeshift","-","本科","?","5-10年","在职跳槽","-","码农类General","全职","-","未谈判，手头上有个B轮Start up offer","IC (Individual Contributor 技术岗，不管人)","2018-10-6 14:20:13","E轮start up包包求分析","rainbowfart","-","?","不打算去","7-9月","Other","1.53887680961E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447726&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Greater Seattle Area","Nordstrom","-","硕士","/","<3个月短暂实习/全职","fresh grad应届毕业生","入职一年后办","码农类General","全职","-","FB offer","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:51:16","Nordstrom return package","guozw","-","5K","婉拒","7-9月","实习ReturnOffer","1.538876810498E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=445628&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Google","硕士","4 years","1-3年","在职跳槽","-","码农类General","全职","3","tableau uber","IC (Individual Contributor 技术岗，不管人)","2018-10-2 13:45:00","狗T3纠结包","shiloh00","-","-","不造","7-9月","猎头","1.538876810972E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=446752&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
