"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","BayArea","-","Google","硕士","不知道","3-5年","在职跳槽","-","码农类General","全职","-","FB UBER APPLE","IC (Individual Contributor 技术岗，不管人)","2018-10-7 04:05:21","谷歌湾区offer 但是想去西雅图","toufucc","-","-","-","7-9月","猎头","1.538872242627E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447808&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Chicago","-","Citadel","本科","N/A","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","实习","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 23:36:51","堡垒家 Hedge Fund 实习大包","guguke","-","corporate housing","没去","7-9月","Other","1.538872242636E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447771&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2017","TrailItem"
"-","美国其他地区","IBM","-","硕士","没","1-3年","fresh grad应届毕业生","好像可以抽","码农类General","全职","-","暂时没","IC (Individual Contributor 技术岗，不管人)","2018-10-7 04:54:34","IBM北卡标准包","babylu","-","没","还在考虑，最近还在面其他家","10-12月","内推","1.538872243299E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=351142&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2017","TrailItem"
"-","美国其他地区","-","IBM","硕士","-","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-7 05:31:16","IBM 实习转正包","cozyrat","-","N/A","-","7-9月","实习ReturnOffer","1.538872243448E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=441718&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"不知道","BayArea","-","Google","硕士","Quarterly - No Vesting Cliff","3-5年","在职跳槽","马上办","电路/电子/半导体类","全职","4","Amazon，Nvidia，若干初创公司","IC (Individual Contributor 技术岗，不管人)","null","Google的硬件（硅工）工程师","倒序浏览","不知道","-","不知道，还在想","1-3月","内推","1.538872245001E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=409673&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Quip","SalesForce","本科","25% * 4","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","-","FB return(110 + 160 + 75)","IC (Individual Contributor 技术岗，不管人)","2018-10-6 23:52:38","Quip New Grad包","zbd1023","-","10k","-","7-9月","内推","1.538872245384E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447775&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"2018 E5 is 120K for meet","BayArea","-","Facebook","博士","6/25% quarterly","5-10年","在职跳槽","-","码农类General","全职","5","None","IC (Individual Contributor 技术岗，不管人)","null","FB E5 2018年春","smugmug","-","-","-","4-6月","猎头","1.538872245676E12","http://www.1point3acres.com/bbs/thread-442428-1-1.html","2018","TrailItem"
"-","Greater New York Area","jp morgan","-","博士","无","<3个月短暂实习/全职","fresh grad应届毕业生","-","金工类","全职","-","-","Other","null","jp freshphd offer","rrrrruiying","-","10k","接了","10-12月","实习ReturnOffer","1.538872246017E12","http://www.1point3acres.com/bbs/thread-294647-1-1.html","2016","TrailItem"
"-","Greater Seattle Area","-","Google","硕士","25","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","Google T3 小纠结OK包","co89757","-","-","accepted","7-9月","猎头","1.538872247025E12","http://www.1point3acres.com/bbs/thread-444589-1-1.html","2018","TrailItem"
"-","BayArea","Walmart Labs","-","硕士","4 year","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","Indeed, Citrix","IC (Individual Contributor 技术岗，不管人)","null","WalmartLabs New Grad","krystalHappy","-","-","Yep","7-9月","网上海投","1.538872247074E12","http://www.1point3acres.com/bbs/thread-437014-1-1.html","2018","TrailItem"
"-","BayArea","-","Uber","博士","25/25/25/25, 1 year cliff","3个月-1年","fresh grad应届毕业生","-","分析|数据科学类","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","Uber家的data scientist II","yan3321","-","-","满意，不去","7-9月","内推","1.538872247503E12","http://www.1point3acres.com/bbs/thread-313133-1-1.html","2017","TrailItem"
"-","BayArea","Twitch/Amazon","Amazon","博士","5%/15%/20%/20%","1-3年","在职跳槽","-","分析|数据科学类","全职","-","-","-","null","报个版上小众的Twitch (Amazon) DS offer","yingcheng","-","-","去","1-3月","内推","1.538872248371E12","http://www.1point3acres.com/bbs/thread-278569-1-1.html","2017","TrailItem"
