Data,DataType,PostID
,YearlyBonus,289422
,SignBonus,289422
,Equity,289422
,BaseSalary,289422
,Title,289422
10%,YearlyBonus,289222
"15,000",SignBonus,289222
"25,000",Equity,289222
"110,000",BaseSalary,289222
SDE,Title,289222
0,YearlyBonus,288189
0,SignBonus,288189
300K,Equity,288189
165K,BaseSalary,288189
senior,Title,288189
10,YearlyBonus,288191
0,SignBonus,288191
93K,Equity,288191
senior,Title,288191
160K,BaseSalary,288191
没说,YearlyBonus,288356
10k,SignBonus,288356
"125,000",Equity,288356
"125,000",BaseSalary,288356
Software Engineer,Title,288356
15%,YearlyBonus,287938
50000,SignBonus,287938
380 GSU,Equity,287938
160000,BaseSalary,287938
Software Engineer,Title,287938
5%?,YearlyBonus,288890
10000,SignBonus,288890
N/A,Equity,288890
100000,BaseSalary,288890
Entry,Title,288890
10%,YearlyBonus,289168
75k,SignBonus,289168
240k,Equity,289168
140k,BaseSalary,289168
E,Title,289168
20K,SignBonus,290369
0,YearlyBonus,290369
68 shares,Equity,290369
133K,BaseSalary,290369
SDE 1,Title,290369
10%,YearlyBonus,289941
30k,SignBonus,289941
250k,Equity,289941
150k,BaseSalary,289941
SDE,Title,289941
30000,YearlyBonus,278907
20000,SignBonus,278907
2800,Equity,278907
140000,BaseSalary,278907
C3,Title,278907
170K,YearlyBonus,182056
30K,SignBonus,182056
0,Equity,182056
150K,BaseSalary,182056
15,YearlyBonus,192616
Quant,Title,182056
N/A,SignBonus,192616
1000股,Equity,192616
125k,BaseSalary,192616
Staff Software Engineer,Title,192616
NA,YearlyBonus,289133
52000,SignBonus,289133
65000,Equity,289133
103000,BaseSalary,289133
SDE1,Title,289133
n/a,YearlyBonus,289901
25k,SignBonus,289901
130k,Equity,289901
116k,BaseSalary,289901
SDE1,Title,289901
10%,YearlyBonus,218321
100K,SignBonus,218321
320K,Equity,218321
140K,BaseSalary,218321
T4,Title,218321
"0-20% cash, 0-13k stock bonus",YearlyBonus,290232
30k,SignBonus,290232
75k,Equity,290232
14k,BaseSalary,290232
sde2,Title,290232
up to 20%,YearlyBonus,288821
10k,SignBonus,288821
20k,Equity,288821
106k,BaseSalary,288821
Software Engineer,Title,288821
N/A,YearlyBonus,290338
N/A,SignBonus,290338
$250000,Equity,290338
$165000,BaseSalary,290338
Senior Software Engineer,Title,290338
10%,YearlyBonus,266696
25k,SignBonus,266696
150k,Equity,266696
115k,BaseSalary,266696
entry level,Title,266696
up to 15%,YearlyBonus,285914
90k  50(1st year) + 40k*(2nd year),SignBonus,285914
130,Equity,285914
sde2,Title,285914
10%,YearlyBonus,290226
140000,BaseSalary,285914
160k,Equity,290226
20k,SignBonus,290226
125k,BaseSalary,290226
ic4,Title,290226
0-20%,YearlyBonus,290186
30000,SignBonus,290186
150000,Equity,290186
145000,BaseSalary,290186
SDE II,Title,290186
50000,YearlyBonus,214835
0,SignBonus,214835
n/a,Equity,214835
220000,BaseSalary,214835
senior range,Title,214835
0,SignBonus,217750
0,Equity,217750
40K,YearlyBonus,217750
140K,BaseSalary,217750
senior software engineer,Title,217750
50k,YearlyBonus,273762
50k,SignBonus,273762
NA,Equity,273762
160k,BaseSalary,273762
Senior research scientist,Title,273762
10%,YearlyBonus,285298
10k,SignBonus,285298
140k,Equity,285298
140k,BaseSalary,285298
N/A,Title,285298
10%,YearlyBonus,279194
10000,SignBonus,279194
120000,Equity,279194
130000,BaseSalary,279194
SWE,Title,279194
0,YearlyBonus,225435
25k + 21k,SignBonus,225435
86,Equity,225435
115000,BaseSalary,225435
4,Title,225435
0-20%,YearlyBonus,285609
20000,SignBonus,285609
30000,Equity,285609
125000,BaseSalary,285609
Software Engineer 2 (61),Title,285609
15%,YearlyBonus,291147
40000,SignBonus,291147
$50000 （这还要分4年！！！）,Equity,291147
137000,BaseSalary,291147
SDE2,Title,291147
10%,YearlyBonus,229082
25k,SignBonus,229082
150k,Equity,229082
115k,BaseSalary,229082
new grad,Title,229082
20%,YearlyBonus,217662
20000,SignBonus,217662
200000,Equity,217662
150000,BaseSalary,217662
Software Engineer,Title,217662
20000,YearlyBonus,290906
10000,SignBonus,290906
0,Equity,290906
150000,BaseSalary,290906
Senior SDE,Title,290906
10%,YearlyBonus,290876
50000,SignBonus,290876
300000,Equity,290876
150000,BaseSalary,290876
software engineer,Title,290876
up to 9k+20%,YearlyBonus,272500
15k,SignBonus,272500
25k,Equity,272500
112k,BaseSalary,272500
60,Title,272500
depends on performance,YearlyBonus,276876
0,SignBonus,276876
12k RSU worth 600k,Equity,276876
175000,BaseSalary,276876
高级码农,Title,276876
15% target,YearlyBonus,191821
$30k,SignBonus,191821
550 gsu,Equity,191821
$155k,BaseSalary,191821
T4,Title,191821
不知道,YearlyBonus,287559
0（我惊呆了）,SignBonus,287559
160k,Equity,287559
130k,BaseSalary,287559
software engineer,Title,287559
0,YearlyBonus,280841
42000,SignBonus,280841
140,Equity,280841
145000,BaseSalary,280841
SDEII,Title,280841
0,YearlyBonus,216911
31000 + 23000,SignBonus,216911
96,Equity,216911
112500,BaseSalary,216911
SDEI,Title,216911
0~20%,YearlyBonus,280747
50k,SignBonus,280747
100k,Equity,280747
130k,BaseSalary,280747
Software Engineer II,Title,280747
NOT SURE,YearlyBonus,271662
25K+20K,SignBonus,271662
80,Equity,271662
120K,BaseSalary,271662
lvl4,Title,271662
20%,YearlyBonus,290304
20k,SignBonus,290304
50k,Equity,290304
125K,BaseSalary,290304
SDE,Title,290304
7%,YearlyBonus,278949
5k,SignBonus,278949
N/A,Equity,278949
100k,BaseSalary,278949
Assoc SDE,Title,278949
15%,YearlyBonus,291748
10000,SignBonus,291748
no,Equity,291748
110000,BaseSalary,291748
Biostatistician,Title,291748
0,YearlyBonus,274515
30000,SignBonus,274515
275000,Equity,274515
145000,BaseSalary,274515
Software Engineer II,Title,274515
20% base + 22k,YearlyBonus,290591
50k,SignBonus,290591
200k,Equity,290591
137k,BaseSalary,290591
sde 2,Title,290591
55K,YearlyBonus,288125
0,SignBonus,288125
570K,Equity,288125
175K,BaseSalary,288125
senior,Title,288125
None,YearlyBonus,212827
18500*2,SignBonus,212827
65000,Equity,212827
103000,BaseSalary,212827
SDEI,Title,212827
seems no,YearlyBonus,292656
"47k,35k",SignBonus,292656
125,Equity,292656
138k,BaseSalary,292656
sde2,Title,292656
12% total year salary,YearlyBonus,206669
15k + 10k early acceptance bouns,SignBonus,206669
150k RSU 4 years,Equity,206669
125k,BaseSalary,206669
Member of Technical Stuff,Title,206669
10%,YearlyBonus,215419
40K,SignBonus,215419
200K,Equity,215419
135K,BaseSalary,215419
E4,Title,215419
10%,YearlyBonus,290522
100k,SignBonus,290522
300k,Equity,290522
160k,BaseSalary,290522
Software Engineer E4,Title,290522
"RSU refresh, don't know.",YearlyBonus,286195
"60k first year, 45k second year",SignBonus,286195
140,Equity,286195
145000,BaseSalary,286195
SDE2,Title,286195
15%,YearlyBonus,292102
75k,SignBonus,292102
320k,Equity,292102
140k,BaseSalary,292102
4,Title,292102
第一年保证bouns的80%,YearlyBonus,176802
NA,SignBonus,176802
NA,Equity,176802
117500,BaseSalary,176802
Entry,Title,176802
BASED ON PERFORMANCE,YearlyBonus,292044
41K + 30K,SignBonus,292044
123,Equity,292044
147K,BaseSalary,292044
SDE 2,Title,292044
10%,YearlyBonus,289850
30k,SignBonus,289850
230k,Equity,289850
140k,BaseSalary,289850
Software Engineer,Title,289850
10%,YearlyBonus,291689
100k,Equity,291689
115k,BaseSalary,291689
20k,SignBonus,291689
new grade,Title,291689
0,SignBonus,290916
10000,Equity,290916
85000,BaseSalary,290916
0,YearlyBonus,290916
Marketing Operations Analyst,Title,290916
none,YearlyBonus,288322
none,SignBonus,288322
25k,Equity,288322
175k,BaseSalary,288322
senior,Title,288322
-,YearlyBonus,279369
32000,SignBonus,279369
30,Equity,279369
120k,BaseSalary,279369
mid - sr level,Title,279369
没说~,YearlyBonus,235975
13000,SignBonus,235975
25000,Equity,235975
115000,BaseSalary,235975
Senior,Title,235975
10%,YearlyBonus,278917
50k,SignBonus,278917
330k,Equity,278917
150k,BaseSalary,278917
SDE2,Title,278917
20%,YearlyBonus,294191
N/A,SignBonus,294191
185000,Equity,294191
115000,BaseSalary,294191
SDE,Title,294191
10%,YearlyBonus,294175
NA,SignBonus,294175
NA,Equity,294175
125k,BaseSalary,294175
Sr SWE,Title,294175
,YearlyBonus,294173
,SignBonus,294173
,Equity,294173
,BaseSalary,294173
,Title,294173
team based,YearlyBonus,202009
20000,SignBonus,202009
50000,Equity,202009
115000,BaseSalary,202009
n/a,Title,202009
"<h3 class=""flb""><em>提示信息</em><span><a href=""javascript:;"" class=""flbc"" onclick=""hideWindow('');"" title=""关闭"">关闭</a></span></h3>
<div class=""c altw"">
<div class=""alert_error"">抱歉，本帖要求阅读权限高于 80 才能浏览<script type=""text/javascript"" reload=""1"">if(typeof errorhandle_=='function') {errorhandle_('抱歉，本帖要求阅读权限高于 80 才能浏览', {'readperm':'80'});}</script></div>
</div>
<p class=""o pns"">
<button type=""button"" class=""pn pnc"" id=""closebtn"" onclick=""hideWindow('');""><strong>确定</strong></button>
<script type=""text/javascript"" reload=""1"">if($('closebtn')) {$('closebtn').focus();}</script>
</p>
",YearlyBonus,290819
"<h3 class=""flb""><em>提示信息</em><span><a href=""javascript:;"" class=""flbc"" onclick=""hideWindow('');"" title=""关闭"">关闭</a></span></h3>
<div class=""c altw"">
<div class=""alert_error"">抱歉，本帖要求阅读权限高于 80 才能浏览<script type=""text/javascript"" reload=""1"">if(typeof errorhandle_=='function') {errorhandle_('抱歉，本帖要求阅读权限高于 80 才能浏览', {'readperm':'80'});}</script></div>
</div>
<p class=""o pns"">
<button type=""button"" class=""pn pnc"" id=""closebtn"" onclick=""hideWindow('');""><strong>确定</strong></button>
<script type=""text/javascript"" reload=""1"">if($('closebtn')) {$('closebtn').focus();}</script>
</p>
",SignBonus,290819
"<h3 class=""flb""><em>提示信息</em><span><a href=""javascript:;"" class=""flbc"" onclick=""hideWindow('');"" title=""关闭"">关闭</a></span></h3>
<div class=""c altw"">
<div class=""alert_error"">抱歉，本帖要求阅读权限高于 80 才能浏览<script type=""text/javascript"" reload=""1"">if(typeof errorhandle_=='function') {errorhandle_('抱歉，本帖要求阅读权限高于 80 才能浏览', {'readperm':'80'});}</script></div>
</div>
<p class=""o pns"">
<button type=""button"" class=""pn pnc"" id=""closebtn"" onclick=""hideWindow('');""><strong>确定</strong></button>
<script type=""text/javascript"" reload=""1"">if($('closebtn')) {$('closebtn').focus();}</script>
</p>
",Equity,290819
"<h3 class=""flb""><em>提示信息</em><span><a href=""javascript:;"" class=""flbc"" onclick=""hideWindow('');"" title=""关闭"">关闭</a></span></h3>
<div class=""c altw"">
<div class=""alert_error"">抱歉，本帖要求阅读权限高于 80 才能浏览<script type=""text/javascript"" reload=""1"">if(typeof errorhandle_=='function') {errorhandle_('抱歉，本帖要求阅读权限高于 80 才能浏览', {'readperm':'80'});}</script></div>
</div>
<p class=""o pns"">
<button type=""button"" class=""pn pnc"" id=""closebtn"" onclick=""hideWindow('');""><strong>确定</strong></button>
<script type=""text/javascript"" reload=""1"">if($('closebtn')) {$('closebtn').focus();}</script>
</p>
",BaseSalary,290819
"<h3 class=""flb""><em>提示信息</em><span><a href=""javascript:;"" class=""flbc"" onclick=""hideWindow('');"" title=""关闭"">关闭</a></span></h3>
<div class=""c altw"">
<div class=""alert_error"">抱歉，本帖要求阅读权限高于 80 才能浏览<script type=""text/javascript"" reload=""1"">if(typeof errorhandle_=='function') {errorhandle_('抱歉，本帖要求阅读权限高于 80 才能浏览', {'readperm':'80'});}</script></div>
</div>
<p class=""o pns"">
<button type=""button"" class=""pn pnc"" id=""closebtn"" onclick=""hideWindow('');""><strong>确定</strong></button>
<script type=""text/javascript"" reload=""1"">if($('closebtn')) {$('closebtn').focus();}</script>
</p>
",Title,290819
15%,YearlyBonus,293681
20000,SignBonus,293681
200000,Equity,293681
125000,BaseSalary,293681
SWE,Title,293681
N/A,YearlyBonus,293761
5000,SignBonus,293761
220000,Equity,293761
135000,BaseSalary,293761
SDE2,Title,293761
0,YearlyBonus,287952
45k,SignBonus,287952
800k,Equity,287952
195k,BaseSalary,287952
L5,Title,287952
0-20%,YearlyBonus,291683
10K,SignBonus,291683
40K,Equity,291683
115K,BaseSalary,291683
Software Engineer,Title,291683
~,YearlyBonus,292533
~,SignBonus,292533
~,Equity,292533
110000,BaseSalary,292533
Software Engineer,Title,292533
AnyBodyTellMe,YearlyBonus,213869
88k,SignBonus,213869
130,Equity,213869
170k,BaseSalary,213869
SDE2,Title,213869
0,SignBonus,201599
0,YearlyBonus,201599
0,Equity,201599
80/hr,BaseSalary,201599
Software engineer,Title,201599
48k,SignBonus,293374
65k,Equity,293374
0,YearlyBonus,293374
108k,BaseSalary,293374
SDE I,Title,293374
0-20%,YearlyBonus,293207
25000,SignBonus,293207
50000,Equity,293207
140000,BaseSalary,293207
SDE2,Title,293207
10,YearlyBonus,293363
0,SignBonus,293363
110000,BaseSalary,293363
0,Equity,293363
Software Engineer,Title,293363
15,YearlyBonus,288022
100K,SignBonus,288022
500K,Equity,288022
180K,BaseSalary,288022
5,Title,288022
15%,YearlyBonus,290883
50000,SignBonus,290883
160000,Equity,290883
184000,BaseSalary,290883
system software engineer,Title,290883
unknown,YearlyBonus,293131
27000+20000,SignBonus,293131
75,Equity,293131
115000,BaseSalary,293131
I,Title,293131
10%,YearlyBonus,276673
100K,SignBonus,276673
300K,Equity,276673
160K,BaseSalary,276673
E4,Title,276673
"标准,20%,80%",YearlyBonus,292936
Zero,SignBonus,292936
800K,Equity,292936
175K,BaseSalary,292936
Sr Software Eng,Title,292936
没有吧,YearlyBonus,281358
27.5k,SignBonus,281358
70k？,Equity,281358
90k,BaseSalary,281358
Data Scientist,Title,281358
15%,YearlyBonus,225407
50k,SignBonus,225407
215,Equity,225407
135k,BaseSalary,225407
software engineer,Title,225407
~,YearlyBonus,294177
15k,SignBonus,294177
~,Equity,294177
120k,BaseSalary,294177
UX Designer,Title,294177
10k,YearlyBonus,293671
100k,SignBonus,293671
200k,Equity,293671
115k,BaseSalary,293671
E3,Title,293671
0~20%,YearlyBonus,294689
"10,000",SignBonus,294689
"15,000",Equity,294689
"125,500",BaseSalary,294689
SDE II,Title,294689
0,YearlyBonus,294645
28000 + 22000,SignBonus,294645
,Equity,294645
116000,BaseSalary,294645
SDE1,Title,294645
0,YearlyBonus,294241
26k*2,SignBonus,294241
65k,Equity,294241
108k,BaseSalary,294241
15%,YearlyBonus,294627
SDE,Title,294241
5k,SignBonus,294627
n/a,Equity,294627
125k,BaseSalary,294627
entry level,Title,294627
0,YearlyBonus,289226
0,SignBonus,289226
57,Equity,289226
155k,BaseSalary,289226
sde,Title,289226
performance based stock,YearlyBonus,213151
25k,SignBonus,213151
2150 RSU (hr报的时候按照$105/share给的估值),Equity,213151
125k,BaseSalary,213151
entry,Title,213151
16%,YearlyBonus,292823
25k,SignBonus,292823
20k/year,Equity,292823
145k,BaseSalary,292823
SDE III,Title,292823
10%,YearlyBonus,285436
10k,SignBonus,285436
100,Equity,285436
120k,BaseSalary,285436
L4,Title,285436
10%,YearlyBonus,289078
20k,SignBonus,289078
175k,Equity,289078
130k,BaseSalary,289078
Software Engineer,Title,289078
15%,YearlyBonus,289139
0,SignBonus,289139
90 SKU,Equity,289139
85000,BaseSalary,289139
Financial Analyst,Title,289139
15%,YearlyBonus,290772
40k,SignBonus,290772
240 GSU ($220k in value),Equity,290772
130k,BaseSalary,290772
Quantitative Analyst,Title,290772
110k,YearlyBonus,288646
0,SignBonus,288646
600k,Equity,288646
175,BaseSalary,288646
senior I,Title,288646
0-20%,YearlyBonus,294976
50k,SignBonus,294976
140k,Equity,294976
128.5k,BaseSalary,294976
SDE,Title,294976
10k cash?,YearlyBonus,292291
20k,SignBonus,292291
200k/4 years,Equity,292291
130k,BaseSalary,292291
new grad swe,Title,292291
30000,YearlyBonus,297125
0,Equity,297125
10000,SignBonus,297125
115000,BaseSalary,297125
associate,Title,297125
0,YearlyBonus,296087
0,SignBonus,296087
120k,Equity,296087
110k,BaseSalary,296087
Entry Level,Title,296087
0,YearlyBonus,295959
15k,SignBonus,295959
130k,Equity,295959
115k,BaseSalary,295959
Software Engineer,Title,295959
10%,YearlyBonus,295868
50k,SignBonus,295868
225k,Equity,295868
138.5k,BaseSalary,295868
0,YearlyBonus,295178
RSDE II,Title,295868
26000+26000,SignBonus,295178
65000,Equity,295178
108000,BaseSalary,295178
SDE1,Title,295178
15-20% cash of base salary,YearlyBonus,295921
0,SignBonus,295921
0,Equity,295921
18w,BaseSalary,295921
